"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","20","399-9865-1-ND","C317C103K5R5TA7301","CAP CER 10000PF 50V X7R RADIAL","A1","20","0","0.16400","3.28"
"2","10","399-18272-1-ND","ESK107M050AG3EA","CAP ALUM 100UF 20% 50V RADIAL","A2","10","0","0.24800","2.48"
"3","10","399-14065-1-ND","C322C104K5R5TA7317","CAP CER 0.1UF 50V X7R RADIAL","A3","10","0","0.21100","2.11"
"4","10","399-ESK106M050AC3DACT-ND","ESK106M050AC3DA","CAP ALUM 10UF 20% 50V RADIAL","A4","10","0","0.16200","1.62"
"5","2","497-2738-5-ND","STPS10L25D","DIODE SCHOTTKY 25V 10A TO220AC","A5","2","0","1.93000","3.86"
"6","10","1655-1N4148CT-ND","1N4148","DIODE GEN PURP 75V 300MA DO35","A6","10","0","0.10800","1.08"
"7","1","732-11376-ND","696108003002","FUSEHOLDER BLOCKS - PCB - CLIP C","A7","1","0","0.68000","0.68"
"8","4","TSW-104-07-F-T-ND","TSW-104-07-F-T","CONN HEADER VERT 12POS 2.54MM","A10","4","0","1.50000","6.00"
"9","4","S1012E-08-ND","PEC08SAAN","CONN HEADER VERT 8POS 2.54MM","A11","4","0","0.47000","1.88"
"10","1","S7078-ND","PPTC102LFBN-RC","CONN HDR 20POS 0.1 TIN PCB","A12","1","0","1.30000","1.30"
"11","2","S9175-ND","SBH11-PBPC-D20-ST-BK","CONN HEADER VERT 40POS 2.54MM","A13","2","0","0.73000","1.46"
"12","2","455-1708-ND","B6B-PH-K-S(LF)(SN)","CONN HEADER VERT 6POS 2MM","A14","2","0","0.36000","0.72"
"13","1","WM6548-ND","0702462001","CONN HEADER VERT 20POS 2.54MM","A16","1","0","2.52000","2.52"
"14","5","S7000-ND","PPTC021LFBN-RC","CONN HDR 2POS 0.1 TIN PCB","A17","5","0","0.32000","1.60"
"15","2","ED2580-ND","OSTTA024163","TERM BLK 2P SIDE ENT 5.08MM PCB","A19","2","0","0.73000","1.46"
"16","6","1726750613-ND","1726750613","CONN HEADER VERT 6POS 4.2MM","A20","6","0","2.27000","13.62"
"17","10","2N3906TAFSCT-ND","2N3906TA","TRANS PNP 40V 0.2A TO92-3","A21","10","0","0.28500","2.85"
"18","10","CF14JT100RCT-ND","CF14JT100R","RES 100 OHM 5% 1/4W AXIAL","A22","10","0","0.05600","0.56"
"19","10","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 5% 1/4W AXIAL","A23","10","0","0.05600","0.56"
"20","25","CF14JT4K70CT-ND","CF14JT4K70","RES 4.7K OHM 5% 1/4W AXIAL","A24","25","0","0.04040","1.01"
"21","10","CD14ZT0R00CT-ND","CD14ZT0R00","RES 0 OHM JUMPER 1/4W AXIAL","A25","10","0","0.07900","0.79"
"22","10","CF18JT68R0CT-ND","CF18JT68R0","RES 68 OHM 5% 1/8W AXIAL","A26","10","0","0.04500","0.45"
"23","10","CF14JT82R0CT-ND","CF14JT82R0","RES 82 OHM 5% 1/4W AXIAL","A27","10","0","0.05600","0.56"
"24","10","CF14JT1K00CT-ND","CF14JT1K00","RES 1K OHM 5% 1/4W AXIAL","A28","10","0","0.05600","0.56"
"25","10","CF14JT680RCT-ND","CF14JT680R","RES 680 OHM 5% 1/4W AXIAL","A29","10","0","0.05600","0.56"
"26","10","CF14JT220RCT-ND","CF14JT220R","RES 220 OHM 5% 1/4W AXIAL","A30","10","0","0.05600","0.56"
"27","1","CT206124-ND","206-124","SWITCH SLIDE DIP SPDT 50MA 24V","A32","1","0","1.25000","1.25"
"28","2","754-2186-ND","DC10CGKWA","LED BAR GRAPH 10SEG 570NM GRN","A37","2","0","3.26000","6.52"
"29","2","576-2235-ND","MIC2937A-3.3WT","IC REG LINEAR 3.3V 750MA TO220-3","A38","2","0","3.02000","6.04"
"30","2","F3631-ND","0233010.MXP","FUSE GLASS 10A 125VAC 5X20MM","B1","2","0","1.21000","2.42"
"31","1","708-3060-ND","C3920BAAAA","SWITCH TOGGLE ON-OFF-ON","B9","1","0","3.28000","3.28"
"32","1","ED1682-24-ND","EDSTL130/24","TERM BLOCK HDR 24POS VERT 5MM","B11","1","0","3.33000","3.33"
"33","3","WM25701-ND","0395016006","TERM BLOCK HDR 6POS VERT 3.5MM","A9","3","0","2.02000","6.06"
"34","3","WM13033-ND","0395005006","TERM BLOCK PLUG 6POS STR 3.5MM","B2","3","0","2.59000","7.77"